Name,Latitude,Longitude
Russel Sage Dining Hall,42.72978417,-73.67820792
Rensselaer Union,42.72989972,-73.67666968
Pittsburgh Building,42.73116959,-73.68330979
West Hall,42.73170414,-73.6831166
Carnegie Building,42.7304685,-73.6832075
Walker Laboratory,42.73086751,-73.68252362
Boiler House,42.73122531,-73.6817623
Russell Sage Laboratory,42.73086402,-73.68160228
Troy Building,42.73108349,-73.680523
North hall,42.73136109,-73.67982789
E Complex,42.73137695,-73.67918969
Ricketts Building,42.73090173,-73.67975096
87 Gymnasium,42.73078477,-73.67886429
Quadrangle Complex,42.73013211,-73.67772254
Low Center for Industrial Innovation,42.72940255,-73.67868702
RPI Playhouse,42.72920992,-73.67815983
Darrin Communications Center,42.72947101,-73.67925539
Jonsson Engineering Center,42.72960238,-73.68018761
Jonsson-Rowland Science Center,42.7288197,-73.68037848
Cogswell Laboratory,42.72818199,-73.68125105
Materials Research Center,42.72831338,-73.68196886
Voorhees Computing Center,42.72924729,-73.68192485
Folsom Library,42.72934682,-73.68254818
Greene Building,42.73001801,-73.68116934
Lally Hall,42.73008265,-73.6818996
Amos Eaton Hall,42.73021238,-73.68256617
Black Cultural Center,42.73248484,-73.68287842
Service Building,42.73288878,-73.68083838
Blaw-Knox 1&2,42.7321517,-73.68085574
J Building,42.73316924,-73.67989839
H Building,42.73260332,-73.6792189
Heffner Alumni House,42.73289205,-73.67816677
Admissions Office,42.73065629,-73.67553824
Public Safety,42.72925166,-73.67700171
Alumni Sports and Recreation Center (Armory),42.72846537,-73.67697293
Mueller Center,42.72880531,-73.67691224
Robison Pool,42.72815363,-73.67724499
Commons Dining Hall,42.72829695,-73.6743121
Crockett Hall,42.72830761,-73.67350733
Nason Hall,42.72765979,-73.67362914
Davison Hall,42.72724539,-73.67408488
Sharp Hall,42.72702507,-73.67464796
Nugent Hall,42.72742755,-73.67504244
Warren Hall,42.72791349,-73.67526624
Hall Hall,42.7285552,-73.67514618
Cary Hall,42.72885762,-73.67462968
Bray Hall,42.72872991,-73.67378864
Chapel and Cultural Center,42.73179636,-73.67225399
Burdett Residence Hall (BARH),42.73108906,-73.671243
Houston Field House,42.73214374,-73.66965064
RAHPS A,42.73101227,-73.66941886
Greenhouses and Grounds Barn,42.72880832,-73.66794965
Stacwyck Apartments,42.73373125,-73.66490827
Radio Club W2SZ,42.73424929,-73.66319805
Bryckwyck,42.73500106,-73.66391119
RAHPS B,42.73497714,-73.6653997
Colonie Apartments,42.73706313,-73.66989185
Academy Hall,42.72744959,-73.67865145
East Campus Athletic Village,42.73236796,-73.66762379
Barton Hall,42.72908669,-73.67408984
Center for Biotechnology and Interdisciplinary Studies,42.72822531,-73.67845128
Parking Garage,42.72772973,-73.68141362
Experimental Media and Performing Arts Center,42.72889552,-73.68361283
Boiler House 2,42.73266126,-73.6802222
RPI Ambulance,42.72722529,-73.68066067
Stadium Field,42.73304408,-73.6669462
Harkness Field,42.73315552,-73.66891109
Samaritan Hospital,42.73324539,-73.6724378
86 Field,42.73035273,-73.67994963
Blitman Commons,42.73135114,-73.68587001
Winslow Building,42.73092087,-73.6843118